row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,week_of_year
1,Pit-Lane,4,2024-01-01,1,2.0,1,3.0,0,0.0,0,0.0,0,1.0
2,Dry-lane,4,2024-01-01,1,4.0,0,0.0,0,0.0,0,0.0,0,1.0
3,Joker Lap,4,2024-01-01,1,4.0,0,0.0,1,4.0,0,0.0,0,1.0
4,Quick 8,8,2024-01-01,1,7.0,0,0.0,1,8.0,0,0.0,0,1.0
5,Pole Position,20,2024-01-01,0,0.0,1,14.0,1,15.0,1,16.0,0,1.0
6,Cockpit,10,2024-01-01,0,0.0,0,0.0,1,8.0,0,0.0,0,1.0
7,Pit-Lane,4,2024-01-02,0,0.0,1,4.0,0,0.0,0,0.0,1,1.0
8,Dry-lane,4,2024-01-02,1,3.0,1,3.0,1,3.0,1,4.0,1,1.0
9,Joker Lap,4,2024-01-02,0,0.0,1,3.0,0,0.0,0,0.0,1,1.0
10,Quick 8,8,2024-01-02,0,0.0,1,7.0,0,0.0,0,0.0,1,1.0
11,Pole Position,20,2024-01-02,1,13.0,1,16.0,1,12.0,0,0.0,1,1.0
12,Cockpit,10,2024-01-02,1,8.0,1,10.0,0,0.0,1,8.0,1,
13,Pit-Lane,4,2024-01-03,0,0.0,1,3.0,0,0.0,1,3.0,2,1.0
14,Dry-lane,4,2024-01-03,0,0.0,1,3.0,1,4.0,1,4.0,2,1.0
15,Joker Lap,4,2024-01-03,1,2.0,1,3.0,1,3.0,0,0.0,2,1.0
16,Quick 8,8,2024-01-03,0,0.0,1,6.0,1,6.0,1,5.0,2,1.0
17,Pole Position,20,2024-01-03,1,19.0,0,0.0,0,0.0,0,0.0,2,1.0
18,Cockpit,10,2024-01-03,0,0.0,0,0.0,1,10.0,0,0.0,2,1.0
19,Pit-Lane,4,2024-01-04,1,3.0,1,4.0,0,0.0,0,0.0,3,1.0
20,Dry-lane,4,2024-01-04,1,4.0,1,3.0,1,2.0,1,2.0,3,1.0
21,Joker Lap,4,2024-01-04,0,0.0,0,0.0,1,3.0,1,3.0,3,1.0
22,Quick 8,8,2024-01-04,1,7.0,1,6.0,1,5.0,1,8.0,3,1.0
23,Pole Position,20,2024-01-04,0,0.0,1,16.0,1,14.0,0,0.0,3,1.0
24,Cockpit,10,2024-01-04,0,0.0,0,0.0,1,7.0,0,0.0,3,1.0
25,Pit-Lane,4,2024-01-05,0,0.0,0,0.0,1,3.0,1,2.0,4,1.0
26,Dry-lane,4,2024-01-05,0,0.0,0,0.0,1,3.0,0,0.0,4,1.0
27,Joker Lap,4,2024-01-05,0,0.0,1,3.0,1,3.0,1,2.0,4,1.0
28,Quick 8,8,2024-01-05,1,6.0,1,5.0,0,0.0,0,0.0,4,1.0
29,Pole Position,20,2024-01-05,1,17.0,0,0.0,1,15.0,0,0.0,4,1.0
30,Cockpit,10,2024-01-05,0,0.0,1,10.0,0,0.0,0,0.0,4,1.0
31,Pit-Lane,4,2024-01-08,1,2.0,1,3.0,1,3.0,0,0.0,0,2.0
32,Dry-lane,4,2024-01-08,0,0.0,1,3.0,0,0.0,1,3.0,0,2.0
33,Joker Lap,4,2024-01-08,1,2.0,0,0.0,0,0.0,1,4.0,0,2.0
34,Quick 8,8,2024-01-08,0,0.0,0,0.0,1,8.0,1,7.0,0,2.0
35,Pole Position,20,2024-01-08,1,18.0,0,0.0,1,10.0,0,0.0,0,2.0
36,Cockpit,10,2024-01-08,0,0.0,1,10.0,1,10.0,1,9.0,0,2.0
37,Pit-Lane,4,2024-01-09,1,4.0,0,0.0,0,0.0,1,3.0,1,2.0
38,Dry-lane,4,2024-01-09,1,3.0,1,3.0,0,0.0,0,0.0,1,2.0
39,Joker Lap,4,2024-01-09,1,3.0,0,0.0,0,0.0,0,0.0,1,2.0
40,Quick 8,8,2024-01-09,1,5.0,1,5.0,1,5.0,1,8.0,1,2.0
41,Pole Position,20,2024-01-09,1,18.0,0,0.0,1,12.0,0,0.0,1,2.0
42,Cockpit,10,2024-01-09,0,0.0,0,0.0,1,5.0,0,0.0,1,2.0
43,Pit-Lane,4,2024-01-10,1,2.0,0,0.0,0,0.0,1,2.0,2,2.0
44,Dry-lane,4,2024-01-10,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0
45,Joker Lap,4,2024-01-10,0,0.0,1,3.0,0,0.0,1,3.0,2,2.0
46,Quick 8,8,2024-01-10,1,4.0,0,0.0,1,5.0,0,0.0,2,2.0
47,Pole Position,20,2024-01-10,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0
48,Cockpit,10,2024-01-10,1,5.0,0,0.0,1,6.0,1,8.0,2,2.0
49,Pit-Lane,4,2024-01-11,0,0.0,0,0.0,0,0.0,1,4.0,3,2.0
50,Dry-lane,4,2024-01-11,0,0.0,1,3.0,1,2.0,0,0.0,3,2.0
51,Joker Lap,4,2024-01-11,0,0.0,0,0.0,1,3.0,0,0.0,3,2.0
52,Quick 8,8,2024-01-11,1,5.0,0,0.0,1,8.0,1,4.0,3,2.0
53,Pole Position,20,2024-01-11,0,0.0,0,0.0,1,19.0,0,0.0,3,2.0
54,Cockpit,10,2024-01-11,0,0.0,1,8.0,1,5.0,1,9.0,3,2.0
55,Pit-Lane,4,2024-01-12,1,3.0,1,4.0,1,4.0,1,3.0,4,2.0
56,Dry-lane,4,2024-01-12,1,3.0,1,3.0,1,2.0,0,0.0,4,2.0
57,Joker Lap,4,2024-01-12,0,0.0,0,0.0,1,3.0,1,3.0,4,2.0
58,Quick 8,8,2024-01-12,1,5.0,1,7.0,0,0.0,0,0.0,4,2.0
59,Pole Position,20,2024-01-12,0,0.0,0,0.0,0,0.0,1,20.0,4,2.0
60,Cockpit,10,2024-01-12,1,9.0,0,0.0,1,8.0,1,8.0,4,2.0
61,Pit-Lane,4,2024-01-15,0,0.0,1,4.0,1,2.0,1,3.0,0,3.0
62,Dry-lane,4,2024-01-15,0,0.0,0,0.0,1,3.0,0,0.0,0,3.0
63,Joker Lap,4,2024-01-15,0,0.0,1,3.0,1,3.0,1,4.0,0,3.0
64,Quick 8,8,2024-01-15,0,0.0,1,7.0,0,0.0,1,7.0,0,3.0
65,Pole Position,20,2024-01-15,1,15.0,0,0.0,1,16.0,0,0.0,0,3.0
66,Cockpit,10,2024-01-15,0,0.0,1,6.0,1,9.0,1,9.0,0,3.0
67,Pit-Lane,4,2024-01-16,0,0.0,0,0.0,1,3.0,1,3.0,1,3.0
68,Dry-lane,4,2024-01-16,1,4.0,1,3.0,1,3.0,1,3.0,1,3.0
69,Joker Lap,4,2024-01-16,1,2.0,0,0.0,1,3.0,0,0.0,1,3.0
70,Quick 8,8,2024-01-16,0,0.0,1,5.0,0,0.0,1,8.0,1,3.0
71,Pole Position,20,2024-01-16,0,0.0,0,0.0,1,16.0,0,0.0,1,3.0
72,Cockpit,10,2024-01-16,1,9.0,0,0.0,0,0.0,0,0.0,1,3.0
73,Pit-Lane,4,2024-01-17,0,0.0,1,3.0,1,3.0,0,0.0,2,3.0
74,Dry-lane,4,2024-01-17,1,4.0,1,3.0,1,2.0,1,4.0,2,3.0
75,Joker Lap,4,2024-01-17,1,2.0,0,0.0,0,0.0,0,0.0,2,3.0
76,Quick 8,8,2024-01-17,0,0.0,1,4.0,1,7.0,0,0.0,2,3.0
77,Pole Position,20,2024-01-17,0,0.0,1,13.0,1,12.0,1,20.0,2,3.0
78,Cockpit,10,2024-01-17,0,0.0,1,8.0,1,5.0,1,7.0,2,3.0
79,Pit-Lane,4,2024-01-18,0,0.0,0,0.0,0,0.0,1,2.0,3,3.0
80,Dry-lane,4,2024-01-18,0,0.0,0,0.0,1,3.0,1,3.0,3,3.0
81,Joker Lap,4,2024-01-18,0,0.0,1,3.0,1,3.0,0,0.0,3,3.0
82,Quick 8,8,2024-01-18,1,4.0,0,0.0,0,0.0,0,0.0,3,3.0
83,Pole Position,20,2024-01-18,1,14.0,0,0.0,1,15.0,0,0.0,3,3.0
84,Cockpit,10,2024-01-18,0,0.0,1,7.0,0,0.0,0,0.0,3,3.0
85,Pit-Lane,4,2024-01-19,1,2.0,1,3.0,1,3.0,1,4.0,4,3.0
86,Dry-lane,4,2024-01-19,0,0.0,0,0.0,0,0.0,1,3.0,4,3.0
87,Joker Lap,4,2024-01-19,1,2.0,1,4.0,1,4.0,0,0.0,4,3.0
88,Quick 8,8,2024-01-19,1,7.0,0,0.0,0,0.0,1,8.0,4,3.0
89,Pole Position,20,2024-01-19,0,0.0,1,13.0,0,0.0,0,0.0,4,3.0
90,Cockpit,10,2024-01-19,1,7.0,1,8.0,1,5.0,0,0.0,4,3.0
91,Pit-Lane,4,2024-01-22,1,4.0,1,4.0,1,3.0,0,0.0,0,4.0
92,Dry-lane,4,2024-01-22,1,3.0,0,0.0,0,0.0,0,0.0,0,4.0
93,Joker Lap,4,2024-01-22,0,0.0,1,2.0,1,4.0,0,0.0,0,4.0
94,Quick 8,8,2024-01-22,0,0.0,1,8.0,1,4.0,0,0.0,0,4.0
95,Pole Position,20,2024-01-22,0,0.0,0,0.0,1,18.0,1,15.0,0,4.0
96,Cockpit,10,2024-01-22,0,0.0,1,6.0,1,8.0,1,8.0,0,4.0
97,Pit-Lane,4,2024-01-23,0,0.0,1,4.0,1,3.0,0,0.0,1,4.0
98,Dry-lane,4,2024-01-23,0,0.0,0,0.0,1,2.0,1,2.0,1,4.0
99,Joker Lap,4,2024-01-23,1,2.0,0,0.0,0,0.0,1,2.0,1,4.0
100,Quick 8,8,2024-01-23,1,6.0,1,7.0,1,7.0,0,0.0,1,4.0
