row,room,capacity,date,nineToEleven,attendanceNineToEleven,elevenToOne,attendanceElevenToOne,oneToThree,attendanceOneToThree,threeToFive,attendanceThreeToFive,day_of_week,month,week_of_year
1,Pit-Lane,4,2024-01-01,,2.0,,3.0,,0.0,,0.0,0,1,1
2,Dry-lane,4,2024-01-01,,4.0,,0.0,,0.0,,0.0,0,1,1
3,Joker Lap,4,2024-01-01,,4.0,,0.0,,4.0,,0.0,0,1,1
4,Quick 8,8,2024-01-01,,7.0,,0.0,,8.0,,0.0,0,1,1
5,Pole Position,20,2024-01-01,,0.0,,14.0,,15.0,,16.0,0,1,1
6,Cockpit,10,2024-01-01,,0.0,,0.0,,8.0,,0.0,0,1,1
7,Pit-Lane,4,2024-01-02,,0.0,,4.0,,0.0,,0.0,1,1,1
8,Dry-lane,4,2024-01-02,,3.0,,3.0,,3.0,,4.0,1,1,1
9,Joker Lap,4,2024-01-02,,0.0,,3.0,,0.0,,0.0,1,1,1
10,Quick 8,8,2024-01-02,,0.0,,7.0,,0.0,,0.0,1,1,1
11,Pole Position,20,2024-01-02,,13.0,,16.0,,12.0,,0.0,1,1,1
12,Cockpit,10,2024-01-02,,8.0,,10.0,,0.0,,8.0,1,1,1
13,Pit-Lane,4,2024-01-03,,0.0,,3.0,,0.0,,3.0,2,1,1
14,Dry-lane,4,2024-01-03,,0.0,,3.0,,4.0,,4.0,2,1,1
15,Joker Lap,4,2024-01-03,,2.0,,3.0,,3.0,,0.0,2,1,1
16,Quick 8,8,2024-01-03,,0.0,,6.0,,6.0,,5.0,2,1,1
17,Pole Position,20,2024-01-03,,19.0,,0.0,,0.0,,0.0,2,1,1
18,Cockpit,10,2024-01-03,,0.0,,0.0,,10.0,,0.0,2,1,1
19,Pit-Lane,4,2024-01-04,,3.0,,4.0,,0.0,,0.0,3,1,1
20,Dry-lane,4,2024-01-04,,4.0,,3.0,,2.0,,2.0,3,1,1
21,Joker Lap,4,2024-01-04,,0.0,,0.0,,3.0,,3.0,3,1,1
22,Quick 8,8,2024-01-04,,7.0,,6.0,,5.0,,8.0,3,1,1
23,Pole Position,20,2024-01-04,,0.0,,16.0,,14.0,,0.0,3,1,1
24,Cockpit,10,2024-01-04,,0.0,,0.0,,7.0,,0.0,3,1,1
25,Pit-Lane,4,2024-01-05,,0.0,,0.0,,3.0,,2.0,4,1,1
26,Dry-lane,4,2024-01-05,,0.0,,0.0,,3.0,,0.0,4,1,1
27,Joker Lap,4,2024-01-05,,0.0,,3.0,,3.0,,2.0,4,1,1
28,Quick 8,8,2024-01-05,,6.0,,5.0,,0.0,,0.0,4,1,1
29,Pole Position,20,2024-01-05,,17.0,,0.0,,15.0,,0.0,4,1,1
30,Cockpit,10,2024-01-05,,0.0,,10.0,,0.0,,0.0,4,1,1
31,Pit-Lane,4,2024-01-08,,2.0,,3.0,,3.0,,0.0,0,1,2
32,Dry-lane,4,2024-01-08,,0.0,,3.0,,0.0,,3.0,0,1,2
33,Joker Lap,4,2024-01-08,,2.0,,0.0,,0.0,,4.0,0,1,2
34,Quick 8,8,2024-01-08,,0.0,,0.0,,8.0,,7.0,0,1,2
35,Pole Position,20,2024-01-08,,18.0,,0.0,,10.0,,0.0,0,1,2
36,Cockpit,10,2024-01-08,,0.0,,10.0,,10.0,,9.0,0,1,2
37,Pit-Lane,4,2024-01-09,,4.0,,0.0,,0.0,,3.0,1,1,2
38,Dry-lane,4,2024-01-09,,3.0,,3.0,,0.0,,0.0,1,1,2
39,Joker Lap,4,2024-01-09,,3.0,,0.0,,0.0,,0.0,1,1,2
40,Quick 8,8,2024-01-09,,5.0,,5.0,,5.0,,8.0,1,1,2
41,Pole Position,20,2024-01-09,,18.0,,0.0,,12.0,,0.0,1,1,2
42,Cockpit,10,2024-01-09,,0.0,,0.0,,5.0,,0.0,1,1,2
43,Pit-Lane,4,2024-01-10,,2.0,,0.0,,0.0,,2.0,2,1,2
44,Dry-lane,4,2024-01-10,,0.0,,0.0,,0.0,,0.0,2,1,2
45,Joker Lap,4,2024-01-10,,0.0,,3.0,,0.0,,3.0,2,1,2
46,Quick 8,8,2024-01-10,,4.0,,0.0,,5.0,,0.0,2,1,2
47,Pole Position,20,2024-01-10,,0.0,,0.0,,0.0,,0.0,2,1,2
48,Cockpit,10,2024-01-10,,5.0,,0.0,,6.0,,8.0,2,1,2
49,Pit-Lane,4,2024-01-11,,0.0,,0.0,,0.0,,4.0,3,1,2
50,Dry-lane,4,2024-01-11,,0.0,,3.0,,2.0,,0.0,3,1,2
51,Joker Lap,4,2024-01-11,,0.0,,0.0,,3.0,,0.0,3,1,2
52,Quick 8,8,2024-01-11,,5.0,,0.0,,8.0,,4.0,3,1,2
53,Pole Position,20,2024-01-11,,0.0,,0.0,,19.0,,0.0,3,1,2
54,Cockpit,10,2024-01-11,,0.0,,8.0,,5.0,,9.0,3,1,2
55,Pit-Lane,4,2024-01-12,,3.0,,4.0,,4.0,,3.0,4,1,2
56,Dry-lane,4,2024-01-12,,3.0,,3.0,,2.0,,0.0,4,1,2
57,Joker Lap,4,2024-01-12,,0.0,,0.0,,3.0,,3.0,4,1,2
58,Quick 8,8,2024-01-12,,5.0,,7.0,,0.0,,0.0,4,1,2
59,Pole Position,20,2024-01-12,,0.0,,0.0,,0.0,,20.0,4,1,2
60,Cockpit,10,2024-01-12,,9.0,,0.0,,8.0,,8.0,4,1,2
61,Pit-Lane,4,2024-01-15,,0.0,,4.0,,2.0,,3.0,0,1,3
62,Dry-lane,4,2024-01-15,,0.0,,0.0,,3.0,,0.0,0,1,3
63,Joker Lap,4,2024-01-15,,0.0,,3.0,,3.0,,4.0,0,1,3
64,Quick 8,8,2024-01-15,,0.0,,7.0,,0.0,,7.0,0,1,3
65,Pole Position,20,2024-01-15,,15.0,,0.0,,16.0,,0.0,0,1,3
66,Cockpit,10,2024-01-15,,0.0,,6.0,,9.0,,9.0,0,1,3
67,Pit-Lane,4,2024-01-16,,0.0,,0.0,,3.0,,3.0,1,1,3
68,Dry-lane,4,2024-01-16,,4.0,,3.0,,3.0,,3.0,1,1,3
69,Joker Lap,4,2024-01-16,,2.0,,0.0,,3.0,,0.0,1,1,3
70,Quick 8,8,2024-01-16,,0.0,,5.0,,0.0,,8.0,1,1,3
71,Pole Position,20,2024-01-16,,0.0,,0.0,,16.0,,0.0,1,1,3
72,Cockpit,10,2024-01-16,,9.0,,0.0,,0.0,,0.0,1,1,3
73,Pit-Lane,4,2024-01-17,,0.0,,3.0,,3.0,,0.0,2,1,3
74,Dry-lane,4,2024-01-17,,4.0,,3.0,,2.0,,4.0,2,1,3
75,Joker Lap,4,2024-01-17,,2.0,,0.0,,0.0,,0.0,2,1,3
76,Quick 8,8,2024-01-17,,0.0,,4.0,,7.0,,0.0,2,1,3
77,Pole Position,20,2024-01-17,,0.0,,13.0,,12.0,,20.0,2,1,3
78,Cockpit,10,2024-01-17,,0.0,,8.0,,5.0,,7.0,2,1,3
79,Pit-Lane,4,2024-01-18,,0.0,,0.0,,0.0,,2.0,3,1,3
80,Dry-lane,4,2024-01-18,,0.0,,0.0,,3.0,,3.0,3,1,3
81,Joker Lap,4,2024-01-18,,0.0,,3.0,,3.0,,0.0,3,1,3
