row,desk,date,firstHalf,secondHalf,day_of_week,day_of_month,month,week_of_year
1,CLUJ_5_beta_1.1,2024-01-01,0,1,0,1,1,1
2,CLUJ_5_beta_1.2,2024-01-01,1,0,0,1,1,1
3,CLUJ_5_beta_1.3,2024-01-01,0,1,0,1,1,1
4,CLUJ_5_beta_1.4,2024-01-01,1,0,0,1,1,1
5,CLUJ_5_beta_2.1,2024-01-01,1,1,0,1,1,1
6,CLUJ_5_beta_2.2,2024-01-01,0,0,0,1,1,1
7,CLUJ_5_beta_2.3,2024-01-01,0,0,0,1,1,1
8,CLUJ_5_beta_2.4,2024-01-01,0,0,0,1,1,1
9,CLUJ_5_beta_3.1,2024-01-01,1,0,0,1,1,1
10,CLUJ_5_beta_3.2,2024-01-01,1,1,0,1,1,1
11,CLUJ_5_beta_3.3,2024-01-01,1,0,0,1,1,1
12,CLUJ_5_beta_3.4,2024-01-01,0,0,0,1,1,1
13,CLUJ_5_beta_4.1,2024-01-01,0,1,0,1,1,1
14,CLUJ_5_beta_4.2,2024-01-01,0,0,0,1,1,1
15,CLUJ_5_beta_4.3,2024-01-01,1,0,0,1,1,1
16,CLUJ_5_beta_4.4,2024-01-01,1,0,0,1,1,1
17,CLUJ_5_beta_5.1,2024-01-01,1,1,0,1,1,1
18,CLUJ_5_beta_5.2,2024-01-01,1,1,0,1,1,1
19,CLUJ_5_beta_5.3,2024-01-01,1,0,0,1,1,1
20,CLUJ_5_beta_5.4,2024-01-01,1,1,0,1,1,1
21,CLUJ_5_beta_6.1,2024-01-01,0,1,0,1,1,1
22,CLUJ_5_beta_6.2,2024-01-01,1,0,0,1,1,1
23,CLUJ_5_beta_6.3,2024-01-01,0,1,0,1,1,1
24,CLUJ_5_beta_6.4,2024-01-01,0,0,0,1,1,1
25,CLUJ_5_beta_7.1,2024-01-01,0,0,0,1,1,1
26,CLUJ_5_beta_7.2,2024-01-01,0,0,0,1,1,1
27,CLUJ_5_beta_7.3,2024-01-01,1,0,0,1,1,1
28,CLUJ_5_beta_7.4,2024-01-01,0,0,0,1,1,1
29,CLUJ_5_beta_8.1,2024-01-01,1,1,0,1,1,1
30,CLUJ_5_beta_8.2,2024-01-01,1,1,0,1,1,1
31,CLUJ_5_beta_8.3,2024-01-01,1,0,0,1,1,1
32,CLUJ_5_beta_8.4,2024-01-01,0,0,0,1,1,1
33,CLUJ_5_beta_9.1,2024-01-01,0,1,0,1,1,1
34,CLUJ_5_beta_9.2,2024-01-01,0,1,0,1,1,1
35,CLUJ_5_beta_9.3,2024-01-01,0,1,0,1,1,1
36,CLUJ_5_beta_9.4,2024-01-01,1,1,0,1,1,1
37,CLUJ_5_beta_10.1,2024-01-01,0,0,0,1,1,1
38,CLUJ_5_beta_10.2,2024-01-01,0,1,0,1,1,1
39,CLUJ_5_beta_10.3,2024-01-01,1,1,0,1,1,1
40,CLUJ_5_beta_10.4,2024-01-01,0,0,0,1,1,1
41,CLUJ_5_beta_11.1,2024-01-01,0,0,0,1,1,1
42,CLUJ_5_beta_11.2,2024-01-01,0,1,0,1,1,1
43,CLUJ_5_beta_11.3,2024-01-01,0,1,0,1,1,1
44,CLUJ_5_beta_11.4,2024-01-01,1,1,0,1,1,1
45,CLUJ_5_beta_12.1,2024-01-01,0,1,0,1,1,1
46,CLUJ_5_beta_12.2,2024-01-01,0,1,0,1,1,1
47,CLUJ_5_beta_12.3,2024-01-01,0,0,0,1,1,1
48,CLUJ_5_beta_12.4,2024-01-01,1,1,0,1,1,1
49,CLUJ_5_beta_13.1,2024-01-01,0,0,0,1,1,1
50,CLUJ_5_beta_13.2,2024-01-01,1,1,0,1,1,1
51,CLUJ_5_beta_13.3,2024-01-01,1,0,0,1,1,1
52,CLUJ_5_beta_13.4,2024-01-01,0,1,0,1,1,1
53,CLUJ_5_beta_14.1,2024-01-01,0,1,0,1,1,1
54,CLUJ_5_beta_14.2,2024-01-01,0,1,0,1,1,1
55,CLUJ_5_beta_14.3,2024-01-01,0,0,0,1,1,1
56,CLUJ_5_beta_14.4,2024-01-01,1,0,0,1,1,1
